conf;temps_ml;
127378;810;
402118;2472;
2899750;20656;
4352195;30171;
3709064;26281;
5131991;34433;
5042569;33366;
6300631;44683;
5795906;40429;
6361638;46338;
8065968;58434;
9822520;67580;
10199592;68014;
10239393;75077;
13840685;82742;
14665109;97052;
19069001;97606;
17952464;113438;
16492953;118712;
19312656;121219;
18864854;132333;
18730275;135021;
21085474;140498;
20532639;142770;
20988583;136690;
26476068;150784;
27611617;150509;
28976360;157911;
29579785;166984;
29062041;173674;
29819994;169047;
