conf;temps_ml;
127378;989;
402118;3147;
2899750;26215;
3709065;33999;
4352195;35150;
5131991;45913;
5042569;43701;
5795910;49545;
6300635;55054;
6361640;55206;
8065995;74611;
9822521;84342;
10239397;92103;
10199722;87200;
14665118;117927;
13840686;120503;
16492966;141151;
18864883;149940;
19312658;156975;
17952464;155515;
19069008;159105;
18730277;154456;
20988583;167262;
21085477;188674;
20532639;190951;
26476151;205832;
28976393;204450;
29579788;205613;
27611632;204911;
29820003;218867;
29062049;227534;
