conf;nb_activation;duree_ml;K1;K2;K3;
689067;1281002;24025;0;4;9;
695874;1302833;24547;0;4;9;
687235;1281356;24488;0;4;9;
682056;1264181;24066;0;4;9;
692719;1292355;24320;0;4;9;
688423;1281743;23705;0;4;9;
686455;1275078;24647;0;4;9;
689184;1283059;24687;0;4;9;
689329;1282069;24592;0;4;9;
687624;1275119;23972;0;4;9;
684764;1273608;24735;0;4;9;
689216;1282008;24609;0;4;9;
691942;1293471;24753;0;4;9;
691332;1293622;24762;0;4;9;
686616;1280579;24885;0;4;9;
686513;1275845;24675;0;4;9;
693713;1294320;24706;0;4;9;
689539;1289458;23931;0;4;9;
689429;1286048;24341;0;4;9;
689430;1283592;24214;0;4;9;
687956;1274988;24733;0;4;9;
695385;1302315;24894;0;4;9;
696977;1307873;24577;0;4;9;
689627;1286603;24918;0;4;9;
688625;1283860;24224;0;4;9;
684618;1270300;24267;0;4;9;
692748;1297168;24779;0;4;9;
687471;1281181;25125;0;4;9;
689133;1289490;24383;0;4;9;
691103;1287681;24613;0;4;9;
690879;1289900;24431;0;4;9;
;;;;;;
;;;;;;
689515,55;1285248,54;24503,35;;;;Moyenne
3313,78;9843,99;331,48;;;;Écart type
