;conf;temps (milliseconde);;Conf/ml;K
Moyenne;32 754,00;1 728,81;;18,94;0
Écart type;41,07;25,35;;;
;;;;;
;;;;;
;;;;;
Moyenne;79 370,65;3 686,97;;21,53;1
Écart type;198,61;57,24;;;
;;;;;
;;;;;
;;;;;
Moyenne;193 475,45;8 131,29;;23,79;2
Écart type;381,41;123,45;;;
;;;;;
;;;;;
;;;;;
Moyenne;573 920,52;20 109,94;;28,54;3
Écart type;1 681,62;232,83;;;
;;;;;
;;;;;
;;;;;
Moyenne;1 598 718,65;59 959,52;;26,66;4
Écart type;39 999,09;11 393,46;;;
;;;;;
;;;;;
;;;;;
Moyenne;3 291 286,62;93 026,93;;35,38;5
Écart type;123 282,61;15 472,60;;;
;;;;;
;;;;;
;;;;;
Moyenne;5 469 041,71;196 169,95;;27,88;6
Écart type;232 974,67;21 672,68;;;
;;;;;
;;;;;
;;;;;
;;;;;
Moyenne;7 959 320,86;266 452,76;;29,87;7
Écart type;344 705,33;37 875,48;;;
;;;;;
;;;;;
;;;;;
Moyenne;10 539 474,37;352 532,16;;29,90;8
Écart type;314 584,30;44 183,86;;;
;;;;;
;;;;;
;;;;;
Moyenne;12 985 941,71;402 507,47;;32,26;9
Écart type;426 031,46;67 515,58;;;
;;;;;
;;;;;
;;;;;
Moyenne;15 173 325,33;444 346,08;;34,15;10
Écart type;401 206,05;81 555,84;;;
;;;;;
;;;;;
;;;;;
Moyenne;17 237 373,00;529 797,83;;32,54;11
Écart type;481 762,57;104 634,79;;;
;;;;;
;;;;;
;;;;;
Moyenne;18 949 851,00;686 271,60;;27,61;12
Écart type;264 339,31;51 366,01;;;
;;;;;
;;;;;
;;;;;
Moyenne;20 471 913,00;722 521,50;;28,33;13
Écart type;362 422,69;77 024,34;;;
