conf;nb_activation;duree_ml;K1;K2;K3;
69896;139664;3289;0;5;7;
69717;139306;3251;0;5;7;
69960;139792;3293;0;5;7;
69773;139418;3293;0;5;7;
69935;139742;3244;0;5;7;
69826;139524;3218;0;5;7;
69891;139654;3291;0;5;7;
69854;139580;3287;0;5;7;
69800;139472;3244;0;5;7;
69774;139420;3228;0;5;7;
69774;139420;3321;0;5;7;
69787;139446;3280;0;5;7;
69860;139592;3248;0;5;7;
69764;139400;3310;0;5;7;
69727;139326;3309;0;5;7;
69342;138556;3230;0;5;7;
69508;138888;3266;0;5;7;
69896;139664;3247;0;5;7;
69879;139630;3262;0;5;7;
69721;139314;3272;0;5;7;
69862;139596;3291;0;5;7;
69851;139574;3262;0;5;7;
69916;139704;3225;0;5;7;
69722;139316;3332;0;5;7;
69479;138830;3228;0;5;7;
69567;139006;3330;0;5;7;
69864;139600;3290;0;5;7;
69859;139590;3343;0;5;7;
68979;137830;3208;0;5;7;
69695;139262;3259;0;5;7;
69154;138180;3219;0;5;7;
;;;;;;
;;;;;;
69730,06;139332,12;3270;;;;Moyenne
226,76;453,52;36,91;;;;Écart type
