conf;nb_activation;K1;K2;K3;temps
44472;88944;0;0;0;2111
44503;89006;0;0;0;2108
44515;89030;0;0;0;2119
199282;398516;0;2;5;8436
199330;398612;0;2;5;8429
199282;398516;0;2;5;8433
507530;998577;0;2;6;18783
508600;1000392;0;2;6;18877
506994;997881;0;2;6;18674
1321278;2263231;0;2;7;39772
1340600;2295411;0;2;7;40336
1331171;2282678;0;2;7;39690
2713743;4185781;0;2;8;72163
2763702;4261492;0;2;8;73208
2775131;4285467;0;2;8;72542
85459;170790;0;5;7;3857
85687;171246;0;5;7;3829
85655;171182;0;5;7;3867
32781;65562;0;5;7;1783
